time,ref,sensor
8.645625,0.094842657,0.092754169
8.64625,0.096019704,0.093944492
8.646875,0.097178429,0.09504437
8.6475,0.09826034,0.096031966
8.648125,0.099214965,0.096896181
8.64875,0.100006032,0.097636367
8.649375,0.100615515,0.098260592
8.65,0.101043843,0.098782858
8.650625,0.10130702,0.099219256
8.65125,0.101432675,0.099584803
8.651875,0.101452163,0.099890692
8.6525,0.101394261,0.100142982
8.653125,0.101280468,0.10034336
8.65375,0.101123242,0.10049073
8.654375,0.100925661,0.10058337
8.655,0.100684654,0.100622065
8.655625,0.100395673,0.10061263
8.65625,0.10005777,0.100566937
8.656875,0.099677856,0.100503005
8.6575,0.099272814,0.100443009
8.658125,0.098869657,0.100410322
8.65875,0.098500982,0.100425818
8.659375,0.098200424,0.100503746
8.66,0.097996602,0.100648936
8.660625,0.097904915,0.100855523
8.66125,0.097924045,0.101106662
8.661875,0.098035118,0.101376791
8.6625,0.098201636,0.101635044
8.663125,0.098375987,0.10184992
8.66375,0.098506335,0.101993011
8.664375,0.098543794,0.102042628
8.665,0.09845129,0.101986182
